"ID";"pattern";"year";"frequency";"weight";"order";"specificity";"status";"degree"
1;"3146";2014;4;5;1;0,0390359525563187;"Emergent";6
2;"""402"", ""3146""";2014;2;2;2;0,5;"Emergent";6
3;"""931"", ""3146"", ""3180""";2014;2;2;3;0,5;"Emergent";6
4;"""497"", ""3146""";2015;2;2;2;0,5;"Emergent";6
5;"""71"", ""402"", ""931"", ""3146"", ""3180""";2014;1;1;5;1;"Emergent";6
6;"""19"", ""87"", ""252"", ""402"", ""497"", ""929"", ""930"", ""3146"", ""3156""";2016;1;1;9;1;"Emergent";6
7;"""497"", ""931"", ""3146"", ""3180"", ""3345""";2015;1;1;5;1;"Emergent";6
