"ID";"endpoint.1";"endpoint.2";"items";"weight";"year"
1;1;4;"497/931/3180/3345";4;2015
2;1;5;"497";1;2016
3;1;6;"497/931/3180/3345";4;2015
4;2;3;"3157";1;2018
5;2;4;"3157";1;2015
6;3;4;"3157";1;2018
7;4;5;"497";1;2016
8;4;6;"497/931/3180/3345";4;2015
9;5;6;"497/3146";2;2016
