"ID";"endpoint.1";"endpoint.2";"items";"weight";"year"
1;1;4;"497/931/3180/3345";4;2015
2;1;5;"497/931/3180/3345";4;2015
3;2;3;"3157";1;2018
4;2;4;"3157";1;2015
5;3;4;"3157";1;2018
6;4;5;"497/931/3180/3345";4;2015
